time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100537	7.0	3.0	80.0	-59.2067	6787150.0	975.0	5.0	208.0	11.0	1673.0	98.0	26116.0	0.0	13	vertical	1
8.202144	7.0	3.0	80.0	-59.1337	6064240.0	975.0	2.0	187.0	7.0	411.0	104.0	24808.0	0.0	13	vertical	1
8.303035	7.0	3.0	80.0	-59.1944	5803590.0	975.0	3.0	180.0	6.0	414.0	110.0	24813.0	0.0	13	vertical	1
8.403708	7.0	3.0	80.0	-59.2488	6626620.0	975.0	0.0	205.0	5.0	419.0	107.0	20698.0	0.0	13	vertical	1
8.505007	7.0	3.0	80.0	-59.1571	6947130.0	975.0	0.0	210.0	8.0	408.0	110.0	16593.0	0.0	13	vertical	1
8.605113	7.0	3.0	80.0	-59.1313	6493560.0	975.0	3.0	198.0	5.0	403.0	99.0	28883.0	0.0	13	vertical	1
8.705136	7.0	3.0	80.0	-59.1562	6600650.0	975.0	2.0	192.0	3.0	404.0	107.0	16599.0	0.0	13	vertical	1
8.805744	7.0	3.0	80.0	-59.202	6495570.0	975.0	1.0	203.0	3.0	410.0	102.0	24787.0	0.0	13	vertical	1
8.905895	7.0	3.0	80.0	-59.155	6462480.0	975.0	3.0	200.0	9.0	415.0	101.0	24798.0	0.0	13	vertical	1
9.006665	7.0	3.0	80.0	-59.244	7072290.0	975.0	2.0	209.0	8.0	405.0	107.0	28879.0	0.0	13	vertical	1
9.107029	7.0	3.0	80.0	-59.2626	6118040.0	975.0	1.0	179.0	6.0	404.0	96.0	16615.0	0.0	13	vertical	1
9.208052	7.0	3.0	80.0	-59.2273	5851950.0	975.0	2.0	176.0	5.0	410.0	103.0	8431.0	0.0	13	vertical	1
9.308608	7.0	3.0	80.0	-59.2451	6738060.0	975.0	3.0	204.0	10.0	411.0	108.0	24792.0	0.0	13	vertical	1
9.409395	7.0	3.0	80.0	-59.201	6677700.0	975.0	2.0	199.0	6.0	399.0	108.0	8397.0	0.0	13	vertical	1
9.510382	7.0	3.0	80.0	-59.1875	6209130.0	975.0	3.0	192.0	3.0	411.0	104.0	16607.0	0.0	13	vertical	1
9.610388	7.0	3.0	80.0	-59.2872	6191290.0	975.0	2.0	188.0	5.0	409.0	90.0	20703.0	0.0	13	vertical	1
9.710418	7.0	3.0	80.0	-59.2591	6344810.0	975.0	3.0	193.0	5.0	406.0	105.0	20703.0	0.0	13	vertical	1
9.811010	7.0	3.0	80.0	-59.2254	6832090.0	975.0	3.0	213.0	5.0	418.0	115.0	28882.0	0.0	13	vertical	1
9.911396	7.0	3.0	80.0	-59.2893	6326140.0	975.0	1.0	197.0	3.0	401.0	95.0	41167.0	0.0	13	vertical	1
10.012349	7.0	3.0	80.0	-59.226	5918500.0	975.0	1.0	177.0	3.0	400.0	106.0	24801.0	0.0	13	vertical	1
10.112738	7.0	3.0	80.0	-59.1762	6501330.0	975.0	1.0	193.0	2.0	409.0	108.0	28892.0	0.0	13	vertical	1
10.214163	7.0	3.0	80.0	-59.2435	6569650.0	975.0	0.0	193.0	6.0	403.0	103.0	37078.0	0.0	13	vertical	1
10.314735	7.0	3.0	80.0	-59.3351	6142900.0	975.0	2.0	188.0	7.0	411.0	100.0	4324.0	0.0	13	vertical	1
10.416345	7.0	3.0	80.0	-59.2595	6122390.0	975.0	3.0	185.0	5.0	400.0	103.0	20703.0	0.0	13	vertical	1
10.517428	7.0	3.0	80.0	-59.3077	6518920.0	975.0	2.0	195.0	4.0	407.0	101.0	8408.0	0.0	13	vertical	1
10.618290	7.0	3.0	80.0	-59.3251	6703430.0	975.0	3.0	203.0	4.0	408.0	91.0	28882.0	0.0	13	vertical	1
10.718398	7.0	3.0	80.0	-59.3636	6673420.0	975.0	1.0	198.0	4.0	403.0	101.0	24786.0	0.0	13	vertical	1
10.818426	7.0	3.0	80.0	-59.2549	6593950.0	975.0	1.0	204.0	2.0	405.0	107.0	16586.0	0.0	13	vertical	1
10.918533	7.0	3.0	80.0	-59.2634	6815670.0	975.0	0.0	205.0	6.0	403.0	110.0	16588.0	0.0	13	vertical	1
11.019634	7.0	3.0	80.0	-59.2042	6200400.0	975.0	0.0	191.0	3.0	403.0	102.0	20694.0	0.0	13	vertical	1
11.120347	7.0	3.0	80.0	-59.3353	5748170.0	975.0	0.0	170.0	7.0	397.0	100.0	33003.0	0.0	13	vertical	1
11.220876	7.0	3.0	80.0	-59.2281	5849070.0	975.0	1.0	171.0	2.0	405.0	103.0	24812.0	0.0	13	vertical	1
11.322029	7.0	3.0	80.0	-59.3039	5833830.0	975.0	1.0	181.0	6.0	415.0	106.0	28913.0	0.0	13	vertical	1
11.423084	7.0	3.0	80.0	-59.1807	5397300.0	975.0	0.0	166.0	6.0	408.0	96.0	12537.0	0.0	13	vertical	1
11.523356	7.0	3.0	80.0	-59.2713	6146000.0	975.0	0.0	188.0	6.0	417.0	100.0	16617.0	0.0	13	vertical	1
