time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101190	7.0	3	80.0	-56.652	6780590.0	975.0	1.0	454.0	16.0	1841.0	164.0	21949.0	0.0	11	vertical	1
8.201515	7.0	3	80.0	-56.6549	6357540.0	975.0	1.0	426.0	18.0	802.0	142.0	20872.0	0.0	11	vertical	1
8.302156	7.0	3	80.0	-56.6393	6541000.0	975.0	0.0	438.0	8.0	802.0	159.0	29042.0	0.0	11	vertical	1
8.402156	7.0	3	80.0	-56.7394	6826360.0	975.0	0.0	449.0	3.0	796.0	158.0	8547.0	0.0	11	vertical	1
8.502358	7.0	3	80.0	-56.6784	6456330.0	975.0	0.0	426.0	8.0	778.0	161.0	8549.0	0.0	11	vertical	1
8.602585	7.0	3	8769.38	-56.6667	6776020.0	975.0	2.0	444.0	13.0	801.0	153.0	24949.0	0.0	11	vertical	1
8.703116	7.0	3	80.0	-56.6569	6730020.0	975.0	0.0	443.0	5.0	809.0	190.0	29041.0	0.0	11	vertical	1
8.803204	7.0	3	8947.98	-56.6437	6609270.0	975.0	0.0	435.0	7.0	803.0	167.0	12666.0	0.0	11	vertical	1
8.903854	7.0	3	80.0	-56.6763	6774880.0	975.0	2.0	448.0	9.0	809.0	153.0	8564.0	0.0	11	vertical	1
9.004001	7.0	3	80.0	-56.6927	6815750.0	975.0	1.0	449.0	11.0	799.0	164.0	20842.0	0.0	11	vertical	1
9.104427	7.0	3	80.0	-56.6864	6860210.0	975.0	0.0	456.0	10.0	803.0	172.0	12643.0	0.0	11	vertical	1
9.204638	7.0	3	80.0	-56.6989	6555670.0	975.0	0.0	435.0	15.0	802.0	158.0	8574.0	0.0	11	vertical	1
9.304988	7.0	3	80.0	-56.7146	6526780.0	975.0	0.0	438.0	3.0	815.0	155.0	382.0	0.0	11	vertical	1
9.405312	7.0	3	80.0	-56.6166	6829850.0	975.0	0.0	446.0	11.0	793.0	164.0	8550.0	0.0	11	vertical	1
9.505685	7.0	3	80.0	-56.7357	6082400.0	975.0	1.0	401.0	7.0	793.0	151.0	8594.0	0.0	11	vertical	1
9.606602	7.0	3	80.0	-56.7225	6324530.0	975.0	0.0	418.0	14.0	811.0	150.0	8597.0	0.0	11	vertical	1
9.707320	7.0	3	80.0	-56.7449	6567750.0	975.0	0.0	443.0	8.0	809.0	159.0	12663.0	0.0	11	vertical	1
9.807720	7.0	3	80.0	-56.7738	6401590.0	975.0	0.0	420.0	7.0	779.0	149.0	365.0	0.0	11	vertical	1
9.907725	7.0	3	80.0	-56.6973	7219950.0	975.0	0.0	479.0	12.0	794.0	165.0	12616.0	0.0	11	vertical	1
10.008489	7.0	3	80.0	-56.7856	6636880.0	975.0	2.0	443.0	4.0	808.0	153.0	367.0	0.0	11	vertical	1
10.109612	7.0	3	80.0	-56.75	7047730.0	975.0	1.0	472.0	7.0	811.0	167.0	4445.0	0.0	11	vertical	1
10.209642	7.0	3	80.0	-56.7281	6484190.0	975.0	1.0	434.0	9.0	790.0	162.0	12654.0	0.0	11	vertical	1
10.309968	7.0	3	80.0	-56.7259	7048710.0	975.0	3.0	467.0	12.0	797.0	148.0	8531.0	0.0	11	vertical	1
10.410828	7.0	3	80.0	-56.745	6807770.0	975.0	0.0	451.0	9.0	814.0	167.0	4470.0	0.0	11	vertical	1
10.511303	7.0	3	80.0	-56.7256	6479380.0	975.0	0.0	430.0	12.0	796.0	164.0	16777.0	0.0	11	vertical	1
10.612267	7.0	3	80.0	-56.7291	6785780.0	975.0	0.0	454.0	6.0	816.0	175.0	16733.0	0.0	11	vertical	1
10.712674	7.0	3	80.0	-56.747	6278610.0	975.0	0.0	415.0	5.0	807.0	171.0	20881.0	0.0	11	vertical	1
