time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100640	8.4	3.0	80.0	-54.4	156420.0	1222.0	16.0	5.0	0.0	1213.0	5.0	8009.0	0.0	4	eventail2	1
8.201477	8.625	3.0	55.0	-52.375	234457.0	813.75	34.0	8.0	0.0	1223.0	6.0	866.0	0.0	4	eventail2	1
8.302704	8.5	3.0	80.0	-39.5	32896.3	1235.0	33.0	2.0	0.0	1256.0	2.0	1373.0	0.0	4	eventail2	1
8.403853	8.66667	3.0	80.0	-53.6667	93545.1	1256.67	52.0	3.0	0.0	1311.0	3.0	5400.0	0.0	4	eventail2	1
8.504145	9.0	3.0	80.0	-54.0	31368.4	1300.0	49.0	1.0	0.0	1239.0	1.0	1727.0	0.0	4	eventail2	1
8.605361	8.0	3.0	80.0	-54.0	155410.0	1170.0	15.0	5.0	0.0	1257.0	5.0	746.0	0.0	4	eventail2	1
8.706442	8.5	3.0	80.0	-54.0	62366.1	1235.0	20.0	2.0	1.0	1204.0	1.0	580.0	0.0	4	eventail2	1
8.807168	8.65217	3.0	53.913	-49.6522	659433.0	798.261	34.0	23.0	1.0	1221.0	12.0	8096.0	0.0	4	eventail2	1
8.907396							43.0	0.0	0.0	1205.0	0.0	0.0	0.0	4	eventail2	1
9.008410	7.34783	3.0	74.7826	-30.0	330744.0	941.63	79.0	46.0	3.0	1163.0	9.0	4312.0	0.0	4	eventail2	1
9.109191	7.03175	3.0	80.0	-25.0476	142508.0	980.159	42.0	63.0	1.0	1299.0	7.0	3093.0	0.0	4	eventail2	1
9.210065	8.5	3.0	80.0	-54.25	124869.0	1235.0	46.0	4.0	0.0	1166.0	4.0	7695.0	0.0	4	eventail2	1
9.310615	8.58824	3.0	56.4706	-49.5882	457682.0	834.706	18.0	17.0	0.0	1260.0	9.0	13305.0	0.0	4	eventail2	1
9.411201	8.66667	3.0	80.0	-44.6667	64501.8	1256.67	27.0	3.0	0.0	1174.0	3.0	4944.0	0.0	4	eventail2	1
9.512203	8.14286	3.0	80.0	-46.1429	160789.0	1188.57	44.0	7.0	1.0	1249.0	5.0	1716.0	0.0	4	eventail2	1
9.612912	8.0	3.0	80.0	-46.3333	414641.0	1170.0	36.0	18.0	2.0	1142.0	16.0	13524.0	0.0	4	eventail2	1
9.713270	8.0	3.0	80.0	-54.2	156978.0	1170.0	14.0	5.0	0.0	1178.0	5.0	1155.0	0.0	4	eventail2	1
9.813617	7.91667	3.0	80.0	-49.25	316820.0	1153.75	34.0	12.0	1.0	1154.0	11.0	13357.0	0.0	4	eventail2	1
9.914310	7.09489	3.0	80.0	-27.2044	596228.0	993.504	21.0	137.0	3.0	1285.0	27.0	42364.0	0.0	4	eventail2	1
10.014815	8.0	3.0	80.0	-46.75	95736.7	1170.0	17.0	4.0	0.0	1256.0	3.0	798.0	0.0	4	eventail2	1
10.115011	8.0	3.0	80.0	-54.0	31398.6	1170.0	22.0	1.0	1.0	1167.0	0.0	0.0	0.0	4	eventail2	1
10.215238	9.0	3.0	80.0	-54.5	62897.3	1300.0	25.0	2.0	0.0	1266.0	2.0	6580.0	0.0	4	eventail2	1
10.316325	8.0	3.0	80.0	-25.0	1701.5	1170.0	28.0	1.0	0.0	1184.0	1.0	3091.0	0.0	4	eventail2	1
10.417145	8.66667	3.0	80.0	-44.3333	64233.1	1256.67	30.0	3.0	0.0	1256.0	3.0	8380.0	0.0	4	eventail2	1
10.518210	8.0	3.0	80.0	-49.3333	157464.0	1170.0	19.0	6.0	0.0	1218.0	6.0	4100.0	0.0	4	eventail2	1
10.620396	9.0	3.0	80.0	-47.25	94161.2	1300.0	29.0	4.0	2.0	1219.0	2.0	5685.0	0.0	4	eventail2	1
10.721576	9.0	3.0	80.0	-55.0	31093.1	1300.0	51.0	1.0	1.0	1241.0	0.0	0.0	0.0	4	eventail2	1
10.822864	9.0	3.0	80.0	-54.0	31178.6	1300.0	17.0	1.0	0.0	1285.0	1.0	859.0	0.0	4	eventail2	1
10.925381							25.0	0.0	0.0	1244.0	0.0	0.0	0.0	4	eventail2	1
11.026765	8.0	3.0	80.0	-55.0	155272.0	1170.0	45.0	5.0	1.0	1215.0	4.0	3777.0	0.0	4	eventail2	1
