time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.102033	7.07143	3.0	80.0	-25.3214	77229.6	986.607	34.0	28.0	2.0	1129.0	3.0	2071.0	0.0	4	eventail	1
8.203435	7.22656	3.0	80.0	-30.8828	1045760.0	1019.18	34.0	128.0	2.0	1198.0	45.0	68892.0	0.0	4	eventail	1
8.304641	8.0	3.0	80.0	-54.5385	404224.0	1170.0	26.0	13.0	1.0	1235.0	12.0	7242.0	0.0	4	eventail	1
8.406025	7.09346	3.0	80.0	-27.1682	479152.0	993.224	10.0	107.0	6.0	1225.0	18.0	22296.0	0.0	4	eventail	1
8.506358	7.15455	3.0	77.0909	-26.7	443461.0	949.5	43.0	110.0	3.0	1167.0	9.0	8190.0	0.0	4	eventail	1
8.607218	7.02752	3.0	80.0	-25.1835	281816.0	980.367	38.0	109.0	3.0	1172.0	12.0	12292.0	0.0	4	eventail	1
8.707320	7.14141	3.0	79.1919	-27.697	501629.0	986.465	28.0	99.0	0.0	1181.0	16.0	24932.0	0.0	4	eventail	1
8.808096	7.37079	3.0	73.7079	-30.2697	721284.0	926.966	17.0	89.0	5.0	1164.0	22.0	28365.0	0.0	4	eventail	1
8.908437	7.16667	3.0	80.0	-28.625	293201.0	1007.5	40.0	48.0	3.0	1228.0	11.0	6840.0	0.0	4	eventail	1
9.009589	9.0	3.0	48.8889	-52.4444	264948.0	755.556	23.0	9.0	0.0	1192.0	5.0	2905.0	0.0	4	eventail	1
9.109804	9.0	3.0	45.7143	-52.2857	219986.0	700.0	28.0	7.0	0.0	1310.0	4.0	3304.0	0.0	4	eventail	1
9.211721	7.05085	3.0	80.0	-25.9322	189644.0	984.915	54.0	59.0	1.0	1153.0	8.0	11891.0	0.0	4	eventail	1
9.312411	7.3	3.0	76.0	-30.0889	688176.0	957.0	36.0	90.0	0.0	1258.0	20.0	19268.0	0.0	4	eventail	1
9.413504	8.0	3.0	80.0	-51.75	329041.0	1170.0	16.0	12.0	2.0	1216.0	10.0	4371.0	0.0	4	eventail	1
9.513630	8.0	3.0	80.0	-54.375	502847.0	1170.0	0.0	16.0	0.0	1214.0	15.0	1862.0	0.0	4	eventail	1
9.615394	8.0	3.0	80.0	-55.0	30914.6	1170.0	45.0	1.0	0.0	1266.0	1.0	505.0	0.0	4	eventail	1
9.716806	8.0	3.0	80.0	-55.0	155229.0	1170.0	40.0	5.0	5.0	1263.0	0.0	0.0	0.0	4	eventail	1
9.817161	8.07143	3.0	80.0	-51.6429	409487.0	1179.29	22.0	14.0	2.0	1127.0	12.0	3489.0	0.0	4	eventail	1
9.918979	8.9	3.0	44.0	-51.4	294110.0	657.0	29.0	10.0	0.0	1204.0	4.0	340.0	0.0	4	eventail	1
10.019618	8.41667	3.0	63.3333	-50.3333	345931.0	932.5	60.0	12.0	1.0	1174.0	10.0	6235.0	0.0	4	eventail	1
10.120736	8.11111	3.0	80.0	-54.2222	280129.0	1184.44	30.0	9.0	2.0	1217.0	7.0	5029.0	0.0	4	eventail	1
10.221923	8.88235	3.0	44.7059	-50.5882	499271.0	667.059	24.0	17.0	1.0	1214.0	7.0	1298.0	0.0	4	eventail	1
10.323049	8.61538	3.0	55.3846	-52.1538	404546.0	819.231	32.0	13.0	1.0	1181.0	10.0	4813.0	0.0	4	eventail	1
10.423136	8.4	3.0	80.0	-36.6	68020.7	1222.0	38.0	5.0	0.0	1197.0	5.0	14410.0	0.0	4	eventail	1
10.524434	9.0	3.0	80.0	-55.0	31057.0	1300.0	36.0	1.0	0.0	1277.0	1.0	683.0	0.0	4	eventail	1
10.626996	8.0	3.0	80.0	-54.75	122813.0	1170.0	11.0	4.0	1.0	1219.0	3.0	1252.0	0.0	4	eventail	1
10.727696	8.0	3.0	80.0	-48.6	253348.0	1170.0	40.0	10.0	0.0	1239.0	9.0	11681.0	0.0	4	eventail	1
10.828512	8.5	3.0	80.0	-54.25	125060.0	1235.0	48.0	4.0	0.0	1217.0	4.0	7285.0	0.0	4	eventail	1
10.928904	9.0	3.0	80.0	-54.0	31337.0	1300.0	50.0	1.0	1.0	1196.0	0.0	0.0	0.0	4	eventail	1
11.029206	8.66667	3.0	80.0	-54.6667	94215.4	1256.67	34.0	3.0	1.0	1225.0	2.0	4213.0	0.0	4	eventail	1
11.131176	9.0	3.0	43.6364	-51.3636	324411.0	663.636	39.0	11.0	0.0	1160.0	2.0	3491.0	0.0	4	eventail	1
11.231800	8.5	3.0	80.0	-54.5	62768.1	1235.0	45.0	2.0	0.0	1197.0	2.0	1055.0	0.0	4	eventail	1
11.332577	9.0	3.0	80.0	-54.0	62554.2	1300.0	55.0	2.0	1.0	1216.0	1.0	849.0	0.0	4	eventail	1
11.432879	8.0	3.0	80.0	-54.2	314012.0	1170.0	26.0	10.0	3.0	1126.0	7.0	1662.0	0.0	4	eventail	1
11.533542	8.2	3.0	80.0	-54.1	312646.0	1196.0	53.0	10.0	0.0	1135.0	10.0	5594.0	0.0	4	eventail	1
11.634575	8.64286	3.0	54.2857	-52.1429	871995.0	803.571	18.0	28.0	0.0	1253.0	12.0	4528.0	0.0	4	eventail	1
11.735653	8.0	3.0	80.0	-25.0	1701.65	1170.0	57.0	1.0	0.0	1241.0	1.0	3131.0	0.0	4	eventail	1
11.835968	8.33333	3.0	66.6667	-53.1667	173074.0	980.0	46.0	6.0	0.0	1116.0	5.0	3358.0	0.0	4	eventail	1
11.936331	8.45455	3.0	69.0909	-53.6364	345169.0	1038.18	25.0	11.0	1.0	1168.0	10.0	9640.0	0.0	4	eventail	1
12.038935	8.0	3.0	80.0	-54.4211	583156.0	1170.0	51.0	19.0	2.0	1271.0	17.0	9477.0	0.0	4	eventail	1
12.139588	8.0	3.0	80.0	-54.0	62511.7	1170.0	66.0	2.0	0.0	1174.0	2.0	216.0	0.0	4	eventail	1
12.240085	8.22222	3.0	80.0	-51.1111	252267.0	1198.89	37.0	9.0	2.0	1180.0	7.0	5561.0	0.0	4	eventail	1
12.340196	8.38462	3.0	67.6923	-53.3846	408884.0	1004.62	70.0	13.0	1.0	1136.0	12.0	5991.0	0.0	4	eventail	1
12.441183	9.0	3.0	80.0	-55.0	31271.2	1300.0	45.0	1.0	0.0	1232.0	1.0	553.0	0.0	4	eventail	1
