time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.101227	7.0	3.0	80.0	-49.0	164007.0	975.0	17.0	8.0	0.0	1012.0	8.0	11769.0	0.0	2	horizonta2	1
8.203659	7.0	3.0	80.0	-44.1429	103210.0	975.0	42.0	7.0	0.0	1038.0	7.0	12568.0	0.0	2	horizonta2	1
8.305511	7.0	3.0	80.0	-39.375	76169.0	975.0	19.0	8.0	2.0	1022.0	5.0	3903.0	0.0	2	horizonta2	1
8.406818	7.0	3.0	80.0	-36.7143	46413.6	975.0	38.0	7.0	1.0	1011.0	6.0	2073.0	0.0	2	horizonta2	1
8.509381	7.0	3.0	80.0	-41.5556	106452.0	975.0	28.0	9.0	0.0	1063.0	8.0	10305.0	0.0	2	horizonta2	1
8.609639	7.0	3.0	80.0	-45.1667	102855.0	975.0	26.0	6.0	2.0	1029.0	4.0	271.0	0.0	2	horizonta2	1
8.710458	7.0	3.0	80.0	-43.5	141501.0	975.0	35.0	10.0	0.0	1044.0	9.0	20293.0	0.0	2	horizonta2	1
8.811243	7.0	3.0	80.0	-46.9375	297168.0	975.0	30.0	16.0	1.0	990.0	13.0	26736.0	0.0	2	horizonta2	1
8.911694	7.0	3.0	80.0	-39.375	76355.4	975.0	21.0	8.0	2.0	971.0	5.0	10199.0	0.0	2	horizonta2	1
9.013140	7.0	3.0	80.0	-51.1429	160697.0	975.0	34.0	7.0	1.0	995.0	6.0	5809.0	0.0	2	horizonta2	1
9.113380	5.01427	3.0	80.0	-57.0385	21767700.0	781.391	1.0	701.0	19.0	1012.0	91.0	23194.0	0.0	2	horizonta2	1
9.213660	5.02326	3.0	80.0	-57.1512	13362800.0	782.267	8.0	430.0	0.0	1087.0	71.0	35584.0	0.0	2	horizonta2	1
9.314028	7.0	3.0	80.0	-45.875	135800.0	975.0	39.0	8.0	1.0	1119.0	7.0	12344.0	0.0	2	horizonta2	1
9.414288	7.0	3.0	80.0	-48.2	195491.0	975.0	34.0	10.0	2.0	1050.0	8.0	16223.0	0.0	2	horizonta2	1
9.515005	5.03271	3.0	80.0	-57.0911	13226000.0	783.189	61.0	428.0	16.0	991.0	71.0	21160.0	0.0	2	horizonta2	1
9.616001	5.03226	3.0	80.0	-57.0968	9511870.0	783.145	9.0	310.0	1.0	1149.0	51.0	11198.0	0.0	2	horizonta2	1
9.718359	7.0	3.0	80.0	-41.6667	35835.0	975.0	32.0	3.0	1.0	1034.0	1.0	7.0	0.0	2	horizonta2	1
9.820118	7.0	3.0	80.0	-48.2	97249.5	975.0	35.0	5.0	1.0	1094.0	4.0	7978.0	0.0	2	horizonta2	1
9.921886	7.0	3.0	80.0	-48.4	98872.0	975.0	34.0	5.0	1.0	1027.0	4.0	4438.0	0.0	2	horizonta2	1
10.022484	7.0	3.0	80.0	-54.0	159845.0	975.0	31.0	6.0	0.0	954.0	6.0	10006.0	0.0	2	horizonta2	1
10.123249	7.0	3.0	80.0	-46.8182	198877.0	975.0	16.0	11.0	3.0	1113.0	8.0	13289.0	0.0	2	horizonta2	1
10.224581	7.0	3.0	80.0	-42.5	105930.0	975.0	13.0	8.0	0.0	1135.0	8.0	9634.0	0.0	2	horizonta2	1
10.325009	7.0	3.0	80.0	-50.8571	162204.0	975.0	31.0	7.0	0.0	1041.0	7.0	16999.0	0.0	2	horizonta2	1
10.425406	7.0	3.0	80.0	-45.75	136659.0	975.0	26.0	8.0	1.0	1062.0	7.0	13240.0	0.0	2	horizonta2	1
10.526939	7.0	3.0	80.0	-43.75	173067.0	975.0	23.0	12.0	3.0	1032.0	9.0	10860.0	0.0	2	horizonta2	1
10.628207	7.0	3.0	80.0	-46.3	168463.0	975.0	27.0	10.0	0.0	1040.0	10.0	12333.0	0.0	2	horizonta2	1
10.728352	7.0	3.0	80.0	-48.75	166679.0	975.0	24.0	8.0	1.0	1005.0	7.0	16428.0	0.0	2	horizonta2	1
10.828391	7.0	3.0	80.0	-39.375	78709.1	975.0	29.0	8.0	0.0	1020.0	7.0	8236.0	0.0	2	horizonta2	1
10.928843	7.0	3.0	80.0	-54.75	223072.0	975.0	25.0	8.0	1.0	1070.0	6.0	2479.0	0.0	2	horizonta2	1
11.029267	7.0	3.0	80.0	-45.6667	204691.0	975.0	38.0	12.0	0.0	1082.0	12.0	18083.0	0.0	2	horizonta2	1
11.130627	7.0	3.0	80.0	-45.6667	100967.0	975.0	42.0	6.0	1.0	972.0	4.0	2437.0	0.0	2	horizonta2	1
11.231597	7.0	3.0	80.0	-40.8	110092.0	975.0	22.0	10.0	0.0	1081.0	10.0	14040.0	0.0	2	horizonta2	1
11.331825	7.0	3.0	80.0	-42.625	106178.0	975.0	28.0	8.0	1.0	1056.0	7.0	12337.0	0.0	2	horizonta2	1
11.433304	7.0	3.0	80.0	-45.8333	200061.0	975.0	56.0	12.0	1.0	1058.0	10.0	11681.0	0.0	2	horizonta2	1
11.534105	7.0	3.0	80.0	-45.75	200395.0	975.0	22.0	12.0	1.0	1104.0	11.0	19341.0	0.0	2	horizonta2	1
11.635541	7.0	3.0	80.0	-41.6667	73090.2	975.0	19.0	6.0	0.0	1064.0	6.0	5961.0	0.0	2	horizonta2	1
11.736437	7.0	3.0	80.0	-33.6667	14410.9	975.0	11.0	6.0	1.0	1062.0	4.0	54.0	0.0	2	horizonta2	1
11.838314	7.0	3.0	80.0	-46.1667	102830.0	975.0	71.0	6.0	1.0	993.0	5.0	7473.0	0.0	2	horizonta2	1
11.940354	7.0	3.0	80.0	-43.2	68601.1	975.0	53.0	5.0	1.0	1027.0	4.0	808.0	0.0	2	horizonta2	1
12.042246	7.0	3.0	80.0	-36.8571	44517.8	975.0	38.0	7.0	0.0	1049.0	6.0	1210.0	0.0	2	horizonta2	1
12.143737	7.0	3.0	80.0	-42.2143	176409.0	975.0	36.0	14.0	1.0	1044.0	12.0	19350.0	0.0	2	horizonta2	1
12.244993	7.0	3.0	80.0	-48.4	196986.0	975.0	18.0	10.0	0.0	1137.0	10.0	16441.0	0.0	2	horizonta2	1
12.345609	7.0	3.0	80.0	-48.4667	296453.0	975.0	25.0	15.0	0.0	1064.0	15.0	24613.0	0.0	2	horizonta2	1
12.446564	7.0	3.0	80.0	-46.8182	200802.0	975.0	35.0	11.0	2.0	1038.0	9.0	9344.0	0.0	2	horizonta2	1
12.548325	7.0	3.0	80.0	-53.6667	157389.0	975.0	56.0	6.0	0.0	1105.0	6.0	5257.0	0.0	2	horizonta2	1
12.649556	7.0	3.0	80.0	-51.1429	161907.0	975.0	41.0	7.0	1.0	1106.0	6.0	9215.0	0.0	2	horizonta2	1
