time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100158	7.0	3.0	80.0	-38.8224	306097.0	975.0	15.0	107.0	2.0	1159.0	9.0	16343.0	0.0	4	horizontal	1
8.202867	7.0	3.0	80.0	-39.9922	536736.0	975.0	6.0	128.0	4.0	1166.0	17.0	28666.0	0.0	4	horizontal	1
8.305135	7.0	3.0	80.0	-38.4685	248994.0	975.0	10.0	111.0	2.0	1203.0	6.0	8192.0	0.0	4	horizontal	1
8.410482	7.0	3.0	80.0	-43.2571	567684.0	975.0	0.0	70.0	2.0	1190.0	21.0	38970.0	0.0	4	horizontal	1
8.510707	7.02198	3.0	80.0	-41.0769	515841.0	979.286	3.0	91.0	6.0	1199.0	21.0	38913.0	0.0	4	horizontal	1
8.611214	7.0	3.0	80.0	-41.2155	680729.0	975.0	16.0	116.0	5.0	1196.0	24.0	40949.0	0.0	4	horizontal	1
8.711862	7.0	3.0	80.0	-39.4336	406207.0	975.0	0.0	113.0	5.0	1203.0	12.0	20478.0	0.0	4	horizontal	1
8.814045	7.0	3.0	80.0	-41.2735	666376.0	975.0	8.0	117.0	3.0	1196.0	26.0	54471.0	0.0	4	horizontal	1
8.914125	7.0	3.0	80.0	-39.6339	438667.0	975.0	3.0	112.0	1.0	1213.0	17.0	31526.0	0.0	4	horizontal	1
9.014140	7.0	3.0	80.0	-40.5062	412017.0	975.0	0.0	81.0	3.0	1200.0	18.0	28686.0	0.0	4	horizontal	1
9.114203	7.02	3.0	79.6	-39.71	388797.0	971.25	0.0	100.0	6.0	1176.0	14.0	24589.0	0.0	4	horizontal	1
9.214404	7.0	3.0	80.0	-40.7227	627218.0	975.0	0.0	119.0	1.0	1257.0	27.0	49139.0	0.0	4	horizontal	1
9.314508	7.0	3.0	80.0	-39.776	484975.0	975.0	0.0	125.0	4.0	1194.0	14.0	24570.0	0.0	4	horizontal	1
9.416060	7.00909	3.0	80.0	-40.8455	576988.0	976.773	11.0	110.0	3.0	1200.0	23.0	40955.0	0.0	4	horizontal	1
