time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100036	6.73719	3.0	80.0	-46.7711	35289000.0	949.376	97.0	1210.0	207.0	953.0	95.0	185104.0	0.0	1	left	1
8.200576	6.57107	3.0	80.0	-46.8504	35215400.0	933.18	134.0	1203.0	318.0	831.0	86.0	147419.0	0.0	1	left	1
8.302990	5.79536	3.0	80.0	-45.9892	34538100.0	857.548	83.0	1207.0	126.0	1042.0	82.0	163785.0	0.0	1	left	1
8.403264	5.46181	3.0	80.0	-45.4783	33471000.0	825.026	41.0	1152.0	107.0	991.0	83.0	163273.0	0.0	1	left	1
8.503656	6.27015	2.99634	80.0	-46.2253	31447500.0	902.815	38.0	1092.0	106.0	908.0	91.0	179327.0	0.0	1	left	1
8.603658	5.54735	2.99716	80.0	-45.7225	30971400.0	832.503	44.0	1056.0	187.0	867.0	77.0	148800.0	0.0	1	left	1
8.704366	5.18478	2.99275	80.0	-45.1975	31954100.0	795.813	11.0	1104.0	61.0	979.0	80.0	163780.0	0.0	1	left	1
8.804453	8.01964	2.29107	80.0	-48.167	32303000.0	858.901	17.0	1120.0	43.0	1075.0	111.0	188398.0	0.0	1	left	1
8.904545	8.81818	2.09091	80.0	-48.9775	33237800.0	875.909	25.0	1155.0	73.0	1084.0	108.0	180226.0	0.0	1	left	1
9.005048	7.62972	2.66751	80.0	-48.0445	35325100.0	935.32	129.0	1191.0	356.0	900.0	96.0	158085.0	0.0	1	left	1
9.105261	6.07937	2.99666	80.0	-46.4603	35025100.0	884.222	73.0	1197.0	224.0	912.0	87.0	157311.0	0.0	1	left	1
9.205264	5.18328	2.99324	80.0	-45.4088	34592000.0	795.898	11.0	1184.0	64.0	1031.0	76.0	155563.0	0.0	1	left	1
9.305432	8.75881	2.10482	80.0	-49.0037	31118200.0	874.351	51.0	1078.0	71.0	1054.0	125.0	188459.0	0.0	1	left	1
9.407601	8.05493	2.44115	80.0	-48.5737	32901400.0	908.687	104.0	1147.0	227.0	932.0	87.0	151565.0	0.0	1	left	1
9.507604	8.33011	2.08906	80.0	-49.0077	29875900.0	833.415	28.0	1033.0	138.0	969.0	84.0	155727.0	0.0	1	left	1
9.607616	8.8218	2.0891	80.0	-49.0709	33384700.0	875.712	42.0	1156.0	66.0	1118.0	98.0	176160.0	0.0	1	left	1
9.708816	8.6372	2.09669	80.0	-48.9309	30851400.0	861.968	40.0	1086.0	54.0	1069.0	113.0	180260.0	0.0	1	left	1
9.808902	8.79928	2.10036	80.0	-48.9186	31686200.0	876.939	23.0	1106.0	95.0	1126.0	112.0	183413.0	0.0	1	left	1
9.909249	7.56412	2.66136	80.0	-47.6999	34803300.0	928.356	91.0	1193.0	178.0	966.0	101.0	181206.0	0.0	1	left	1
10.009296	7.0	3.0	80.0	-47.3581	37096000.0	975.0	90.0	1265.0	319.0	922.0	87.0	169262.0	0.0	1	left	1
10.109507	6.50137	3.0	80.0	-46.5442	31813000.0	926.472	105.0	1097.0	191.0	901.0	97.0	179405.0	0.0	1	left	1
10.210030	5.24957	2.99653	80.0	-45.3484	33329700.0	803.279	53.0	1154.0	97.0	1003.0	81.0	162872.0	0.0	1	left	1
10.310724	6.02051	3.0	80.0	-46.064	35492000.0	879.5	82.0	1219.0	190.0	964.0	80.0	158802.0	0.0	1	left	1
10.411946	5.18868	2.99657	80.0	-45.0617	33324000.0	797.353	33.0	1166.0	66.0	1007.0	82.0	166935.0	0.0	1	left	1
10.511995	5.60071	2.89046	80.0	-45.7544	32877900.0	805.269	21.0	1132.0	74.0	979.0	66.0	134199.0	0.0	1	left	1
10.612990	8.70009	2.14996	80.0	-48.925	32850700.0	882.345	38.0	1147.0	40.0	1098.0	104.0	187350.0	0.0	1	left	1
10.712992	6.72661	3.0	80.0	-47.0228	36503400.0	948.344	101.0	1229.0	390.0	829.0	81.0	138551.0	0.0	1	left	1
10.815206	6.8064	3.0	80.0	-47.205	37906700.0	956.124	99.0	1312.0	259.0	980.0	88.0	171059.0	0.0	1	left	1
10.915613	6.69468	3.0	80.0	-46.5926	33940100.0	945.232	83.0	1166.0	242.0	930.0	88.0	165450.0	0.0	1	left	1
11.015619	6.69802	3.0	80.0	-46.8735	37369300.0	945.557	146.0	1265.0	269.0	957.0	90.0	172010.0	0.0	1	left	1
11.115741	5.6955	2.99647	80.0	-45.6778	32918900.0	846.738	32.0	1133.0	134.0	955.0	81.0	163780.0	0.0	1	left	1
11.216999	6.77104	3.0	80.0	-47.0715	34672000.0	952.677	114.0	1188.0	194.0	960.0	72.0	138248.0	0.0	1	left	1
11.318220	6.44298	3.0	80.0	-46.7926	35285900.0	920.69	77.0	1210.0	224.0	933.0	73.0	140194.0	0.0	1	left	1
11.419256	5.27407	3.0	80.0	-45.3877	33079300.0	806.722	37.0	1153.0	114.0	1015.0	83.0	165151.0	0.0	1	left	1
11.519951	6.80532	2.99917	80.0	-47.0707	35265700.0	955.766	72.0	1202.0	279.0	923.0	87.0	154803.0	0.0	1	left	1
11.621903	8.79943	2.10029	80.0	-48.873	29516800.0	876.931	20.0	1047.0	53.0	1039.0	100.0	171586.0	0.0	1	left	1
11.721987	8.80243	2.09879	80.0	-48.8726	32961600.0	876.768	22.0	1154.0	55.0	1127.0	114.0	184366.0	0.0	1	left	1
11.821988	8.5927	2.08333	80.0	-49.3371	30982300.0	854.389	37.0	1068.0	91.0	1061.0	93.0	163922.0	0.0	1	left	1
11.922945	6.76	2.66364	80.0	-47.1682	31921700.0	849.345	85.0	1100.0	170.0	977.0	86.0	144142.0	0.0	1	left	1
12.024325	6.63993	3.0	80.0	-47.0896	34003700.0	939.893	108.0	1172.0	229.0	895.0	79.0	158963.0	0.0	1	left	1
12.124326	5.73311	2.99324	80.0	-45.7035	34239400.0	849.424	61.0	1184.0	116.0	1007.0	95.0	188341.0	0.0	1	left	1
12.225813	8.44165	2.16068	80.0	-48.7783	31716400.0	861.565	44.0	1114.0	126.0	1057.0	113.0	172100.0	0.0	1	left	1
12.326672	8.80873	2.09564	80.0	-49.1532	30855600.0	876.424	31.0	1077.0	150.0	1060.0	112.0	172164.0	0.0	1	left	1
12.427022	7.2048	2.8976	80.0	-47.4064	36525500.0	963.838	136.0	1250.0	351.0	887.0	103.0	180601.0	0.0	1	left	1
12.527229	7.00083	3.0	80.0	-47.3909	35394200.0	975.162	91.0	1205.0	250.0	951.0	87.0	171155.0	0.0	1	left	1
12.627972	5.22102	2.99281	80.0	-45.6936	32137900.0	799.365	26.0	1113.0	91.0	939.0	79.0	160148.0	0.0	1	left	1
12.728423	5.55305	2.99666	80.0	-45.6107	34569200.0	832.906	25.0	1197.0	55.0	1060.0	82.0	159677.0	0.0	1	left	1
12.829339	8.0578	2.3578	80.0	-48.3147	31103100.0	883.296	70.0	1090.0	114.0	1044.0	114.0	181122.0	0.0	1	left	1
12.930014	8.79775	2.10112	80.0	-49.0918	30460900.0	877.022	24.0	1068.0	101.0	1083.0	103.0	162970.0	0.0	1	left	1
13.030586	7.42845	2.7278	80.0	-48.1258	35667300.0	935.358	135.0	1216.0	232.0	959.0	90.0	162934.0	0.0	1	left	1
13.131309	6.9055	3.0	80.0	-47.3419	34019500.0	965.786	86.0	1164.0	180.0	958.0	92.0	168933.0	0.0	1	left	1
13.231317	6.86161	3.0	80.0	-46.9506	35659000.0	961.507	80.0	1214.0	208.0	961.0	88.0	176085.0	0.0	1	left	1
13.331564	7.0	3.0	80.0	-47.307	35787000.0	975.0	111.0	1215.0	247.0	929.0	78.0	143337.0	0.0	1	left	1
13.432263	6.28027	3.0	80.0	-46.6708	35119800.0	904.826	96.0	1206.0	234.0	940.0	91.0	179785.0	0.0	1	left	1
13.533641	5.89637	2.99655	80.0	-46.1416	33475100.0	866.346	85.0	1158.0	190.0	951.0	90.0	176501.0	0.0	1	left	1
13.634104	7.45331	2.24751	80.0	-48.7189	32021300.0	799.031	62.0	1103.0	70.0	1019.0	100.0	180211.0	0.0	1	left	1
13.734636	7.97617	2.09191	80.0	-49.1285	33799800.0	803.779	17.0	1175.0	48.0	1099.0	97.0	185193.0	0.0	1	left	1
13.835645	7.77054	2.41171	80.0	-48.458	30421400.0	876.059	70.0	1059.0	133.0	983.0	82.0	162997.0	0.0	1	left	1
13.937083	6.81556	3.0	80.0	-47.2494	36195100.0	957.017	133.0	1247.0	331.0	915.0	90.0	158912.0	0.0	1	left	1
14.037110	6.61713	3.0	80.0	-46.8018	34827100.0	937.67	140.0	1191.0	261.0	880.0	84.0	160539.0	0.0	1	left	1
14.138150	5.93011	3.0	80.0	-46.2769	32597000.0	870.685	57.0	1116.0	169.0	895.0	74.0	151486.0	0.0	1	left	1
14.238157	6.31462	2.87779	80.0	-46.7151	35492800.0	871.022	94.0	1211.0	234.0	932.0	88.0	171997.0	0.0	1	left	1
14.338846	8.81387	2.09307	80.0	-49.1728	30268000.0	876.144	27.0	1053.0	110.0	1063.0	98.0	168047.0	0.0	1	left	1
14.439345	8.76026	2.09515	80.0	-48.9907	30625400.0	872.119	57.0	1072.0	85.0	1059.0	114.0	187348.0	0.0	1	left	1
14.539792	8.71357	2.10151	80.0	-48.8935	28437700.0	869.89	50.0	995.0	53.0	1041.0	111.0	169191.0	0.0	1	left	1
14.639845	8.10896	2.08864	80.0	-49.1163	31233100.0	814.38	40.0	1083.0	102.0	1072.0	109.0	169034.0	0.0	1	left	1
14.739887	8.79342	2.09232	80.0	-49.0987	31474400.0	874.176	45.0	1094.0	56.0	1069.0	139.0	203857.0	0.0	1	left	1
14.841157	8.63345	2.09705	80.0	-49.091	32803500.0	861.749	33.0	1154.0	64.0	1100.0	121.0	200665.0	0.0	1	left	1
14.941775	6.8417	2.94979	80.0	-47.2996	34425800.0	944.301	129.0	1175.0	320.0	843.0	81.0	158013.0	0.0	1	left	1
15.042189	5.69069	2.99649	80.0	-45.8796	33109500.0	846.273	72.0	1138.0	110.0	966.0	86.0	162901.0	0.0	1	left	1
15.143415	8.40204	2.11633	80.0	-48.8041	27677800.0	846.77	28.0	980.0	89.0	992.0	96.0	150155.0	0.0	1	left	1
15.243855	8.81227	2.09386	80.0	-48.9928	31648400.0	876.231	46.0	1108.0	87.0	1075.0	104.0	184380.0	0.0	1	left	1
15.345073	7.73351	2.46432	80.0	-48.4381	31764100.0	887.556	99.0	1107.0	185.0	962.0	91.0	162624.0	0.0	1	left	1
15.445082	6.69761	2.99744	80.0	-47.1823	34630200.0	944.824	93.0	1174.0	276.0	850.0	86.0	165054.0	0.0	1	left	1
15.545200	6.68213	3.0	80.0	-47.2552	34169200.0	944.008	120.0	1164.0	337.0	811.0	73.0	132384.0	0.0	1	left	1
15.645551	6.31784	2.99668	80.0	-46.756	35260600.0	907.48	99.0	1205.0	339.0	848.0	81.0	154866.0	0.0	1	left	1
15.745551	5.77157	2.99662	80.0	-46.0152	34686400.0	854.2	48.0	1182.0	227.0	887.0	82.0	163210.0	0.0	1	left	1
15.849909	5.2033	3.0	80.0	-45.3475	32038000.0	799.822	52.0	1151.0	55.0	1018.0	78.0	159653.0	0.0	1	left	1
15.950053	5.15709	2.99676	80.0	-45.4923	36185300.0	794.331	30.0	1235.0	39.0	1095.0	84.0	171948.0	0.0	1	left	1
16.050084	5.75418	3.0	80.0	-46.0109	34882300.0	853.533	38.0	1196.0	86.0	1038.0	86.0	176039.0	0.0	1	left	1
16.150091	6.31497	3.0	80.0	-46.6988	34398200.0	908.21	84.0	1162.0	223.0	916.0	85.0	151546.0	0.0	1	left	1
16.251275	6.67407	3.0	80.0	-47.1868	35612600.0	943.222	120.0	1215.0	237.0	960.0	82.0	154864.0	0.0	1	left	1
16.352345	6.96482	3.0	80.0	-47.1717	34828500.0	971.57	76.0	1194.0	252.0	926.0	89.0	154786.0	0.0	1	left	1
16.453257	6.75311	3.0	80.0	-46.913	35032900.0	950.928	88.0	1207.0	206.0	982.0	88.0	169514.0	0.0	1	left	1
16.554471	5.2973	2.99662	80.0	-45.1689	34044900.0	807.959	41.0	1184.0	72.0	1019.0	90.0	184227.0	0.0	1	left	1
16.655379	5.16892	2.99662	80.0	-45.2576	34138100.0	795.443	40.0	1184.0	65.0	1051.0	88.0	180156.0	0.0	1	left	1
