time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100182	7.0	3.0	80.0	-36.8737	18077700.0	975.0	50.0	578.0	16.0	1077.0	20.0	10922.0	0.0	1	vertical2	1
8.200418	7.0	3.0	80.0	-37.2347	37736200.0	975.0	0.0	1206.0	0.0	1242.0	24.0	37.0	0.0	1	vertical2	1
8.300571	7.0	3.0	80.0	-37.2174	36715600.0	975.0	0.0	1173.0	9.0	1188.0	19.0	8216.0	0.0	1	vertical2	1
8.401180	7.00124	3.0	80.0	-37.1968	25194600.0	975.241	18.0	808.0	24.0	1181.0	16.0	4135.0	0.0	1	vertical2	1
8.502995	8.0	3.0	80.0	-37.5	61916.2	1170.0	85.0	2.0	1.0	1142.0	1.0	1333.0	0.0	1	vertical2	1
8.604176	8.0	3.0	80.0	-38.0	31092.7	1170.0	75.0	1.0	0.0	1187.0	1.0	962.0	0.0	1	vertical2	1
8.704948	8.0	3.0	80.0	-38.0	31338.3	1170.0	85.0	1.0	0.0	1119.0	1.0	1376.0	0.0	1	vertical2	1
8.806522	8.0	3.0	80.0	-38.0	31090.4	1170.0	57.0	1.0	0.0	1150.0	1.0	305.0	0.0	1	vertical2	1
8.907880	8.0	3.0	80.0	-38.0	31038.5	1170.0	92.0	1.0	0.0	1130.0	1.0	1887.0	0.0	1	vertical2	1
9.008258	8.0	3.0	80.0	-38.5	62683.2	1170.0	82.0	2.0	0.0	1072.0	2.0	707.0	0.0	1	vertical2	1
9.108387	8.0	3.0	80.0	-38.0	31419.7	1170.0	97.0	1.0	0.0	1124.0	1.0	2803.0	0.0	1	vertical2	1
9.209743	8.0	3.0	80.0	-38.0	62196.5	1170.0	99.0	2.0	0.0	1064.0	2.0	3955.0	0.0	1	vertical2	1
9.311258	7.0	3.0	80.0	-37.19	37089800.0	975.0	0.0	1200.0	25.0	1197.0	11.0	128.0	0.0	1	vertical2	1
9.412319	7.0	3.0	80.0	-37.038	19600800.0	975.0	51.0	631.0	33.0	1220.0	18.0	8242.0	0.0	1	vertical2	1
9.513798	8.0	3.0	80.0	-38.0	31119.8	1170.0	74.0	1.0	0.0	1164.0	1.0	587.0	0.0	1	vertical2	1
9.614773	8.0	3.0	80.0	-38.5	62550.2	1170.0	69.0	2.0	0.0	1082.0	2.0	2243.0	0.0	1	vertical2	1
9.715694	8.0	3.0	80.0	-38.0	62464.4	1170.0	112.0	2.0	0.0	1067.0	2.0	831.0	0.0	1	vertical2	1
9.817849	8.0	3.0	80.0	-38.0	61592.7	1170.0	91.0	2.0	0.0	1125.0	2.0	869.0	0.0	1	vertical2	1
9.918589	8.0	3.0	80.0	-39.0	31348.2	1170.0	60.0	1.0	0.0	1047.0	1.0	1444.0	0.0	1	vertical2	1
10.019560	8.0	3.0	80.0	-39.0	93709.9	1170.0	85.0	3.0	0.0	1124.0	3.0	5154.0	0.0	1	vertical2	1
10.121134	8.0	3.0	80.0	-38.0	31090.7	1170.0	69.0	1.0	0.0	1119.0	1.0	377.0	0.0	1	vertical2	1
10.221205							96.0	0.0	0.0	1146.0	0.0	0.0	0.0	1	vertical2	1
10.322690	8.0	3.0	80.0	-38.5	62117.7	1170.0	66.0	2.0	0.0	1154.0	2.0	2208.0	0.0	1	vertical2	1
10.422793	8.0	3.0	80.0	-38.0	62974.9	1170.0	92.0	2.0	0.0	1104.0	2.0	1617.0	0.0	1	vertical2	1
10.523835	8.0	3.0	80.0	-38.0	62271.4	1170.0	66.0	2.0	0.0	1161.0	2.0	4801.0	0.0	1	vertical2	1
10.624792	7.0	3.0	80.0	-37.3514	13792700.0	975.0	60.0	444.0	31.0	1116.0	16.0	13426.0	0.0	1	vertical2	1
10.725933	8.0	3.0	80.0	-39.0	62328.6	1170.0	117.0	2.0	1.0	1103.0	1.0	697.0	0.0	1	vertical2	1
10.827226	7.00272	3.0	80.0	-37.1063	11355100.0	975.531	67.0	367.0	56.0	1014.0	6.0	1585.0	0.0	1	vertical2	1
10.927700	7.0	3.0	80.0	-37.1099	14767500.0	975.0	47.0	473.0	41.0	1198.0	2.0	42.0	0.0	1	vertical2	1
11.028441	7.00394	3.0	80.0	-37.1752	15821300.0	975.768	87.0	508.0	15.0	1110.0	10.0	5438.0	0.0	1	vertical2	1
11.128886	7.0	3.0	80.0	-37.148	36498600.0	975.0	0.0	1169.0	0.0	1191.0	29.0	12312.0	0.0	1	vertical2	1
