time	mcs	nss	bw	rssi	throughput_monitor	datarate	pktlost_ack	nbpkt_monitor	retry	nbpkt_ack	pktlost_seq_initial	pktlost_seq_new	bad_fcs	distance	antenna	LoS
8.100125	8.10101	1.94794	76.3636	-47.4732	32307100.0	735.466	1.0	1287.0	239.0	1017.0	85.0	163863.0	0.0	6	vertical	1
8.200125	8.57948	1.88117	79.9074	-49.4144	35213700.0	785.4	1.0	1296.0	230.0	1068.0	83.0	155656.0	0.0	6	vertical	1
8.301640	8.38404	1.84116	80.0	-49.2312	35137600.0	761.544	7.0	1341.0	204.0	1121.0	79.0	161654.0	0.0	6	vertical	1
8.402559	7.97692	1.96203	79.3001	-48.2241	34292900.0	748.44	4.0	1343.0	267.0	1061.0	78.0	153701.0	0.0	6	vertical	1
8.502859	8.51931	2.01261	75.6659	-50.1828	35704600.0	796.236	1.0	1269.0	121.0	1131.0	61.0	118767.0	0.0	6	vertical	1
8.603849	8.31583	2.01373	74.2649	-48.9628	33320400.0	770.827	1.0	1238.0	165.0	1063.0	83.0	162786.0	0.0	6	vertical	1
8.704694	8.17943	2.05414	73.5808	-48.5553	34277000.0	759.335	2.0	1293.0	217.0	1086.0	66.0	128031.0	0.0	6	vertical	1
8.805004	8.63036	2.00248	76.1221	-50.4348	34473500.0	805.37	1.0	1212.0	112.0	1100.0	44.0	81920.0	0.0	6	vertical	1
8.905110	8.15234	1.99574	76.1191	-50.4162	33418900.0	757.24	6.0	1175.0	155.0	1040.0	39.0	77844.0	0.0	6	vertical	1
9.005279	8.54869	2.00254	75.3937	-49.6884	32926200.0	792.728	1.0	1181.0	215.0	1041.0	27.0	41053.0	0.0	6	vertical	1
9.105373	8.18515	2.00427	76.5188	-50.6468	33683700.0	767.553	28.0	1172.0	131.0	1059.0	75.0	135147.0	0.0	6	vertical	1
9.207006	8.39789	1.99838	75.6726	-49.6062	33588200.0	780.281	0.0	1234.0	121.0	1078.0	73.0	140517.0	0.0	6	vertical	1
9.307208	8.5847	2.00247	77.6316	-51.1661	35477900.0	812.431	11.0	1216.0	107.0	1109.0	53.0	105231.0	0.0	6	vertical	1
9.407900	8.734	2.00249	78.7864	-52.4896	36450100.0	835.449	12.0	1203.0	109.0	1131.0	14.0	12325.0	0.0	6	vertical	1
9.507902	8.16567	2.01888	78.0944	-51.5597	34307400.0	779.867	21.0	1165.0	111.0	1031.0	34.0	65533.0	0.0	6	vertical	1
9.608088	7.83321	2.00431	75.3271	-46.821	33940800.0	713.526	0.0	1391.0	307.0	1089.0	84.0	161117.0	0.0	6	vertical	1
9.708610	7.5708	2.04964	76.8905	-46.9073	33497600.0	714.476	3.0	1370.0	275.0	1032.0	67.0	137813.0	0.0	6	vertical	1
9.808845	8.30173	2.05944	74.763	-49.3679	36415700.0	776.905	0.0	1329.0	145.0	1113.0	66.0	131019.0	0.0	6	vertical	1
9.908930	8.72576	2.02707	78.4629	-51.9432	34147600.0	833.849	1.0	1145.0	91.0	1103.0	24.0	45087.0	0.0	6	vertical	1
10.009147	8.81629	2.0104	78.6482	-52.1551	34527900.0	839.021	0.0	1154.0	59.0	1101.0	38.0	67059.0	0.0	6	vertical	1
10.109582	8.82383	2.0	77.2426	-51.3464	34257900.0	825.632	1.0	1175.0	43.0	1094.0	52.0	97264.0	0.0	6	vertical	1
10.210497	8.66327	2.00548	76.2725	-50.1574	35635200.0	804.136	1.0	1277.0	155.0	1125.0	39.0	73218.0	0.0	6	vertical	1
10.310786	8.79626	2.01868	79.3416	-52.242	33942900.0	844.7	1.0	1124.0	110.0	1082.0	15.0	16452.0	0.0	6	vertical	1
10.411749	8.54119	1.99734	78.2108	-52.1497	33677500.0	811.198	13.0	1129.0	90.0	1078.0	38.0	69671.0	0.0	6	vertical	1
10.511838	8.6098	2.01143	77.3714	-50.5967	35064500.0	812.196	0.0	1225.0	134.0	1128.0	41.0	53849.0	0.0	6	vertical	1
10.611872	8.45614	2.00319	77.193	-49.9649	34994900.0	794.242	1.0	1254.0	128.0	1106.0	81.0	167353.0	0.0	6	vertical	1
10.713101	8.33976	1.92507	76.2463	-48.8398	35442800.0	757.72	1.0	1348.0	165.0	1127.0	76.0	158204.0	0.0	6	vertical	1
10.814023	7.7175	2.06754	79.9564	-48.0646	34791000.0	746.615	12.0	1377.0	256.0	1089.0	85.0	173485.0	0.0	6	vertical	1
10.915036	7.84435	2.0371	78.6935	-49.1258	33013700.0	753.527	17.0	1240.0	194.0	1033.0	83.0	168600.0	0.0	6	vertical	1
11.015038	8.17995	2.01139	73.3941	-48.508	34918700.0	749.803	0.0	1317.0	248.0	1043.0	61.0	126288.0	0.0	6	vertical	1
11.115638	8.0307	1.95833	72.0468	-47.5424	34623400.0	718.431	4.0	1368.0	232.0	1102.0	91.0	182986.0	0.0	6	vertical	1
11.217238	7.77825	1.97067	71.7597	-46.2761	33276500.0	686.644	21.0	1398.0	344.0	1036.0	81.0	161012.0	0.0	6	vertical	1
11.317244	8.44939	1.9931	74.4632	-49.2592	35587400.0	769.445	0.0	1304.0	217.0	1087.0	74.0	135169.0	0.0	6	vertical	1
11.418519	7.16667	1.94485	69.2848	-42.4582	32876300.0	601.552	0.0	1650.0	597.0	1034.0	81.0	151531.0	0.0	6	vertical	1
11.518526	7.89962	2.06692	74.6464	-48.3422	34345900.0	740.165	0.0	1315.0	226.0	1047.0	64.0	131032.0	0.0	6	vertical	1
11.619004	8.34414	1.99484	73.7657	-48.5807	35945500.0	756.365	1.0	1357.0	181.0	1129.0	69.0	131025.0	0.0	6	vertical	1
11.719122	7.92481	2.0594	78.5865	-48.5218	34915600.0	759.965	0.0	1330.0	214.0	1079.0	79.0	155611.0	0.0	6	vertical	1
11.820186	7.92094	2.0593	79.7365	-48.7592	35415800.0	765.07	3.0	1366.0	197.0	1123.0	80.0	163795.0	0.0	6	vertical	1
11.920195	7.88197	2.09672	79.7541	-48.759	31984100.0	766.678	7.0	1220.0	210.0	999.0	83.0	151551.0	0.0	6	vertical	1
12.020234	7.20728	2.05563	79.1656	-45.598	34770600.0	691.63	1.0	1510.0	399.0	1098.0	83.0	159721.0	0.0	6	vertical	1
12.120550	7.95624	2.0868	75.1714	-48.3377	35926800.0	750.396	0.0	1371.0	206.0	1139.0	80.0	159717.0	0.0	6	vertical	1
12.221164	7.27962	2.03757	77.5145	-46.297	32697100.0	690.65	1.0	1384.0	364.0	1007.0	86.0	167925.0	0.0	6	vertical	1
12.322791	8.50161	1.99678	76.2158	-50.6787	34901900.0	797.166	1.0	1242.0	92.0	1106.0	88.0	171226.0	0.0	6	vertical	1
12.422795	8.37574	1.9963	75.074	-49.3957	37239400.0	774.33	2.0	1352.0	155.0	1135.0	73.0	144068.0	0.0	6	vertical	1
12.523334	8.34198	1.89771	75.4198	-48.874	34770000.0	753.226	1.0	1310.0	147.0	1107.0	81.0	163775.0	0.0	6	vertical	1
12.625446	8.04776	1.9674	73.9803	-48.4526	34142800.0	738.141	32.0	1319.0	232.0	1054.0	90.0	180193.0	0.0	6	vertical	1
12.725447	7.41031	2.04634	71.988	-47.4238	33969700.0	689.704	0.0	1338.0	245.0	1056.0	82.0	163810.0	0.0	6	vertical	1
12.825503	7.67769	2.13462	72.0769	-47.4715	33111600.0	720.784	2.0	1300.0	282.0	1024.0	73.0	147455.0	0.0	6	vertical	1
12.925907	7.29523	2.03787	76.7181	-46.3962	33990600.0	692.25	0.0	1426.0	311.0	1058.0	85.0	169448.0	0.0	6	vertical	1
13.025912	7.66667	1.88467	72.9958	-46.2644	34277000.0	684.297	4.0	1422.0	334.0	1057.0	85.0	174538.0	0.0	6	vertical	1
13.127118	8.24497	1.92241	73.5345	-48.3484	36302800.0	745.719	0.0	1392.0	175.0	1157.0	83.0	167409.0	0.0	6	vertical	1
13.227343	8.06831	1.88735	72.093	-47.5262	35097700.0	720.231	6.0	1376.0	310.0	1081.0	77.0	152041.0	0.0	6	vertical	1
13.327345	7.79671	1.9701	75.6652	-47.9312	34553300.0	728.816	0.0	1338.0	233.0	1086.0	80.0	163822.0	0.0	6	vertical	1
13.427412	7.27872	2.00993	76.3972	-46.339	33831000.0	689.013	2.0	1410.0	275.0	1076.0	92.0	184931.0	0.0	6	vertical	1
13.527512	7.19312	1.85955	71.0253	-44.8617	32480900.0	644.715	0.0	1424.0	427.0	1013.0	77.0	154978.0	0.0	6	vertical	1
13.628679	8.02383	1.92926	68.9799	-47.1392	34257300.0	713.823	0.0	1343.0	248.0	1089.0	88.0	178997.0	0.0	6	vertical	1
13.729046	7.59625	2.07566	72.4794	-47.6255	34149400.0	711.802	16.0	1335.0	240.0	1060.0	87.0	173219.0	0.0	6	vertical	1
13.830783	7.6927	2.07809	78.496	-47.9805	34933800.0	740.968	12.0	1383.0	169.0	1154.0	106.0	180164.0	0.0	6	vertical	1
13.932110	8.43509	1.98377	75.255	-49.8972	35574000.0	783.777	12.0	1294.0	151.0	1105.0	84.0	175964.0	0.0	6	vertical	1
14.032479	8.03655	1.9339	73.9658	-48.9844	34391300.0	722.512	9.0	1286.0	155.0	1086.0	77.0	150512.0	0.0	6	vertical	1
14.133332	7.86092	2.04507	74.7164	-49.4444	34955700.0	738.664	9.0	1287.0	112.0	1096.0	89.0	177170.0	0.0	6	vertical	1
14.233861	8.09848	2.03843	75.6125	-49.044	33214100.0	757.752	1.0	1249.0	159.0	1047.0	88.0	172007.0	0.0	6	vertical	1
14.334184	7.95245	1.98006	79.954	-48.5721	33833700.0	755.584	3.0	1304.0	220.0	1061.0	75.0	147431.0	0.0	6	vertical	1
14.434791	6.81282	1.93655	80.0	-45.2944	35064000.0	644.698	27.0	1576.0	482.0	1083.0	75.0	154683.0	0.0	6	vertical	1
14.536054	7.75581	1.94622	73.968	-47.1228	34048900.0	709.4	0.0	1376.0	233.0	1084.0	84.0	166894.0	0.0	6	vertical	1
14.636190	7.90057	1.98859	73.7408	-48.3904	32666900.0	726.218	11.0	1227.0	260.0	1013.0	71.0	134281.0	0.0	6	vertical	1
14.736194	7.64137	2.05588	75.4295	-50.0617	33532700.0	726.198	15.0	1199.0	88.0	1036.0	74.0	142062.0	0.0	6	vertical	1
14.836198	7.91224	2.01001	72.0862	-47.6289	33077900.0	721.184	14.0	1299.0	206.0	1039.0	94.0	180159.0	0.0	6	vertical	1
14.937354	8.2861	1.8583	71.0661	-46.7955	36377500.0	707.075	10.0	1482.0	285.0	1129.0	89.0	167869.0	0.0	6	vertical	1
15.038391	7.89075	1.92498	78.9512	-47.3999	34105600.0	735.613	2.0	1373.0	298.0	1079.0	88.0	169361.0	0.0	6	vertical	1
15.138988	7.41907	1.9812	68.18	-44.6051	33398700.0	634.757	9.0	1489.0	459.0	1038.0	45.0	85069.0	0.0	6	vertical	1
15.239666	7.55135	2.07429	71.595	-47.2025	34332300.0	705.744	1.0	1373.0	235.0	1085.0	85.0	171507.0	0.0	6	vertical	1
15.340157	7.89006	2.08886	67.8163	-46.7538	33574400.0	708.015	0.0	1328.0	243.0	1057.0	74.0	147429.0	0.0	6	vertical	1
15.440159	7.14235	2.14799	65.976	-45.7519	34713500.0	650.658	10.0	1419.0	297.0	1061.0	86.0	171980.0	0.0	6	vertical	1
